infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,pluperfect 1p-s,pluperfect 2p-s,pluperfect 3p-s,pluperfect 1p-p,pluperfect 2p-p,pluperfect 3p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past imperative 1p-s,past imperative 2p-s,past imperative 3p-s,past imperative 1p-p,past imperative 2p-p,past imperative 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,simple past 1p-s,simple past 2p-s,simple past 3p-s,simple past 1p-p,simple past 2p-p,simple past 3p-p,gerund
nuire,to harm,TRUE,nuis,nuis,nuit,nuisons,nuisez,nuisent,ai nui,as nui,a nui,avons nui,avez nui,ont nui,nuisais,nuisais,nuisait,nuisions,nuisiez,nuisaient,nuirai,nuiras,nuira,nuirons,nuirez,nuiront,nuirais,nuirais,nuirait,nuirions,nuiriez,avais nui,avais nui,avait nui,avions nui,aviez nui,avaient nui,nuiraient,nuise,nuises,nuise,nuisions,nuisiez,nuisent,aurais nui,aurais nui,aurait nui,aurions nui,auriez nui,auraient nui,aurai nui,auras nui,aura nui,aurons nui,aurez nui,auront nui,N/A,nuis,N/A,nuisons,nuisez,N/A,aie nui,aies nui,ait nui,ayons nui,ayez nui,aient nui,nuisisse,nuisisses,nuisît,nuisissions,nuisissiez,nuisissent,eusse nui,eusses nui,eût nui,eussions nui,eussiez nui,eussent nui,N/A,aie nui,N/A,ayons nui,ayez nui,N/A,eus nui,eus nui,eut nui,eûmes nui,eûtes nui,eurent nui,nuisis,nuisis,nuisit,nuisîmes,nuisîtes,nuisirent,nuisant
nourrir,to feed,FALSE,nourris,nourris,nourrit,nourrissons,nourrissez,nourrissent,ai nourri,as nourri,a nourri,avons nourri,avez nourri,ont nourri,nourrissais,nourrissais,nourrissait,nourrissions,nourrissiez,nourrissaient,nourrirai,nourriras,nourrira,nourrirons,nourrirez,nourriront,nourrirais,nourrirais,nourrirait,nourririons,nourririez,avais nourri,avais nourri,avait nourri,avions nourri,aviez nourri,avaient nourri,nourriraient,nourrisse,nourrisses,nourrisse,nourrissions,nourrissiez,nourrissent,aurais nourri,aurais nourri,aurait nourri,aurions nourri,auriez nourri,auraient nourri,aurai nourri,auras nourri,aura nourri,aurons nourri,aurez nourri,auront nourri,N/A,nourris,N/A,nourrissons,nourrissez,N/A,aie nourri,aies nourri,ait nourri,ayons nourri,ayez nourri,aient nourri,nourrisse,nourrisses,nourrît,nourrissions,nourrissiez,nourrissent,eusse nourri,eusses nourri,eût nourri,eussions nourri,eussiez nourri,eussent nourri,N/A,aie nourri,N/A,ayons nourri,ayez nourri,N/A,eus nourri,eus nourri,eut nourri,eûmes nourri,eûtes nourri,eurent nourri,nourris,nourris,nourrit,nourrîmes,nourrîtes,nourrirent,nourrissant
monter,to climb,FALSE,monte,montes,monte,montons,montez,montent,ai monté,as monté,a monté,avons monté,avez monté,ont monté,montais,montais,montait,montions,montiez,montaient,monterai,monteras,montera,monterons,monterez,monteront,monterais,monterais,monterait,monterions,monteriez,avais monté,avais monté,avait monté,avions monté,aviez monté,avaient monté,monteraient,monte,montes,monte,montions,montiez,montent,aurais monté,aurais monté,aurait monté,aurions monté,auriez monté,auraient monté,aurai monté,auras monté,aura monté,aurons monté,aurez monté,auront monté,N/A,monte,N/A,montons,montez,N/A,aie monté,aies monté,ait monté,ayons monté,ayez monté,aient monté,montasse,montasses,montât,montassions,montassiez,montassent,eusse monté,eusses monté,eût monté,eussions monté,eussiez monté,eussent monté,N/A,aie monté,N/A,ayons monté,ayez monté,N/A,eus monté,eus monté,eut monté,eûmes monté,eûtes monté,eurent monté,montai,montas,monta,montâmes,montâtes,montèrent,montant
modérer,to moderate,FALSE,modère,modères,modère,modérons,modérez,modèrent,ai modéré,as modéré,a modéré,avons modéré,avez modéré,ont modéré,modérais,modérais,modérait,modérions,modériez,modéraient,modèrerai;modérerai,modèreras;modéreras,modèrera;modérera,modèrerons;modérerons,modèrerez;modérerez,modèreront;modéreront,modèrerais;modérerais,modèrerais;modérerais,modèrerait;modérerait,modèrerions;modérerions,modèreriez;modéreriez,avais modéré,avais modéré,avait modéré,avions modéré,aviez modéré,avaient modéré,modèreraient;modéreraient,modère,modères,modère,modérions,modériez,modèrent,aurais modéré,aurais modéré,aurait modéré,aurions modéré,auriez modéré,auraient modéré,aurai modéré,auras modéré,aura modéré,aurons modéré,aurez modéré,auront modéré,N/A,modère,N/A,modérons,modérez,N/A,aie modéré,aies modéré,ait modéré,ayons modéré,ayez modéré,aient modéré,modérasse,modérasses,modérât,modérassions,modérassiez,modérassent,eusse modéré,eusses modéré,eût modéré,eussions modéré,eussiez modéré,eussent modéré,N/A,aie modéré,N/A,ayons modéré,ayez modéré,N/A,eus modéré,eus modéré,eut modéré,eûmes modéré,eûtes modéré,eurent modéré,modérai,modéras,modéra,modérâmes,modérâtes,modérèrent,modérant
obtenir,to obtain/to get,TRUE,obtiens,obtiens,obtient,obtenons,obtenez,obtiennent,ai obtenu,as obtenu,a obtenu,avons obtenu,avez obtenu,ont obtenu,obtenais,obtenais,obtenait,obtenions,obteniez,obtenaient,obtiendrai,obtiendras,obtiendra,obtiendrons,obtiendrez,obtiendront,obtiendrais,obtiendrais,obtiendrait,obtiendrions,obtiendriez,avais obtenu,avais obtenu,avait obtenu,avions obtenu,aviez obtenu,avaient obtenu,obtiendraient,obtienne,obtiennes,obtienne,obtenions,obteniez,obtiennent,aurais obtenu,aurais obtenu,aurait obtenu,aurions obtenu,auriez obtenu,auraient obtenu,aurai obtenu,auras obtenu,aura obtenu,aurons obtenu,aurez obtenu,auront obtenu,N/A,obtiens,N/A,obtenons,obtenez,N/A,aie obtenu,aies obtenu,ait obtenu,ayons obtenu,ayez obtenu,aient obtenu,obtinsse,obtinsses,obtînt,obtinssions,obtinssiez,obtinssent,eusse obtenu,eusses obtenu,eût obtenu,eussions obtenu,eussiez obtenu,eussent obtenu,N/A,aie obtenu,N/A,ayons obtenu,ayez obtenu,N/A,eus obtenu,eus obtenu,eut obtenu,eûmes obtenu,eûtes obtenu,eurent obtenu,obtins,obtins,obtint,obtînmes,obtîntes,obtinrent,obtenant
participer,to participate,FALSE,participe,participes,participe,participons,participez,participent,ai participé,as participé,a participé,avons participé,avez participé,ont participé,participais,participais,participait,participions,participiez,participaient,participerai,participeras,participera,participerons,participerez,participeront,participerais,participerais,participerait,participerions,participeriez,avais participé,avais participé,avait participé,avions participé,aviez participé,avaient participé,participeraient,participe,participes,participe,participions,participiez,participent,aurais participé,aurais participé,aurait participé,aurions participé,auriez participé,auraient participé,aurai participé,auras participé,aura participé,aurons participé,aurez participé,auront participé,N/A,participe,N/A,participons,participez,N/A,aie participé,aies participé,ait participé,ayons participé,ayez participé,aient participé,participasse,participasses,participât,participassions,participassiez,participassent,eusse participé,eusses participé,eût participé,eussions participé,eussiez participé,eussent participé,N/A,aie participé,N/A,ayons participé,ayez participé,N/A,eus participé,eus participé,eut participé,eûmes participé,eûtes participé,eurent participé,participai,participas,participa,participâmes,participâtes,participèrent,participant
occuper,to occupy,FALSE,occupe,occupes,occupe,occupons,occupez,occupent,ai occupé,as occupé,a occupé,avons occupé,avez occupé,ont occupé,occupais,occupais,occupait,occupions,occupiez,occupaient,occuperai,occuperas,occupera,occuperons,occuperez,occuperont,occuperais,occuperais,occuperait,occuperions,occuperiez,avais occupé,avais occupé,avait occupé,avions occupé,aviez occupé,avaient occupé,occuperaient,occupe,occupes,occupe,occupions,occupiez,occupent,aurais occupé,aurais occupé,aurait occupé,aurions occupé,auriez occupé,auraient occupé,aurai occupé,auras occupé,aura occupé,aurons occupé,aurez occupé,auront occupé,N/A,occupe,N/A,occupons,occupez,N/A,aie occupé,aies occupé,ait occupé,ayons occupé,ayez occupé,aient occupé,occupasse,occupasses,occupât,occupassions,occupassiez,occupassent,eusse occupé,eusses occupé,eût occupé,eussions occupé,eussiez occupé,eussent occupé,N/A,aie occupé,N/A,ayons occupé,ayez occupé,N/A,eus occupé,eus occupé,eut occupé,eûmes occupé,eûtes occupé,eurent occupé,occupai,occupas,occupa,occupâmes,occupâtes,occupèrent,occupant
pendre,to hang,TRUE,pends,pends,pend,pendons,pendez,pendent,ai pendu,as pendu,a pendu,avons pendu,avez pendu,ont pendu,pendais,pendais,pendait,pendions,pendiez,pendaient,pendrai,pendras,pendra,pendrons,pendrez,pendront,pendrais,pendrais,pendrait,pendrions,pendriez,avais pendu,avais pendu,avait pendu,avions pendu,aviez pendu,avaient pendu,pendraient,pende,pendes,pende,pendions,pendiez,pendent,aurais pendu,aurais pendu,aurait pendu,aurions pendu,auriez pendu,auraient pendu,aurai pendu,auras pendu,aura pendu,aurons pendu,aurez pendu,auront pendu,N/A,pends,N/A,pendons,pendez,N/A,aie pendu,aies pendu,ait pendu,ayons pendu,ayez pendu,aient pendu,pendisse,pendisses,pendît,pendissions,pendissiez,pendissent,eusse pendu,eusses pendu,eût pendu,eussions pendu,eussiez pendu,eussent pendu,N/A,aie pendu,N/A,ayons pendu,ayez pendu,N/A,eus pendu,eus pendu,eut pendu,eûmes pendu,eûtes pendu,eurent pendu,pendis,pendis,pendit,pendîmes,pendîtes,pendirent,pendant
périr,to perish,FALSE,péris,péris,périt,périssons,périssez,périssent,ai péri,as péri,a péri,avons péri,avez péri,ont péri,périssais,périssais,périssait,périssions,périssiez,périssaient,périrai,périras,périra,périrons,périrez,périront,périrais,périrais,périrait,péririons,péririez,avais péri,avais péri,avait péri,avions péri,aviez péri,avaient péri,périraient,périsse,périsses,périsse,périssions,périssiez,périssent,aurais péri,aurais péri,aurait péri,aurions péri,auriez péri,auraient péri,aurai péri,auras péri,aura péri,aurons péri,aurez péri,auront péri,N/A,péris,N/A,périssons,périssez,N/A,aie péri,aies péri,ait péri,ayons péri,ayez péri,aient péri,périsse,périsses,pérît,périssions,périssiez,périssent,eusse péri,eusses péri,eût péri,eussions péri,eussiez péri,eussent péri,N/A,aie péri,N/A,ayons péri,ayez péri,N/A,eus péri,eus péri,eut péri,eûmes péri,eûtes péri,eurent péri,péris,péris,périt,pérîmes,pérîtes,périrent,périssant
oindre,to anoint,TRUE,oins,oins,oint,oignons,oignez,oignent,ai oint,as oint,a oint,avons oint,avez oint,ont oint,oignais,oignais,oignait,oignions,oigniez,oignaient,oindrai,oindras,oindra,oindrons,oindrez,oindront,oindrais,oindrais,oindrait,oindrions,oindriez,avais oint,avais oint,avait oint,avions oint,aviez oint,avaient oint,oindraient,oigne,oignes,oigne,oignions,oigniez,oignent,aurais oint,aurais oint,aurait oint,aurions oint,auriez oint,auraient oint,aurai oint,auras oint,aura oint,aurons oint,aurez oint,auront oint,N/A,oins,N/A,oignons,oignez,N/A,aie oint,aies oint,ait oint,ayons oint,ayez oint,aient oint,oignisse,oignisses,oignît,oignissions,oignissiez,oignissent,eusse oint,eusses oint,eût oint,eussions oint,eussiez oint,eussent oint,N/A,aie oint,N/A,ayons oint,ayez oint,N/A,eus oint,eus oint,eut oint,eûmes oint,eûtes oint,eurent oint,oignis,oignis,oignit,oignîmes,oignîtes,oignirent,oignant
oser,to dare,FALSE,ose,oses,ose,osons,osez,osent,ai osé,as osé,a osé,avons osé,avez osé,ont osé,osais,osais,osait,osions,osiez,osaient,oserai,oseras,osera,oserons,oserez,oseront,oserais,oserais,oserait,oserions,oseriez,avais osé,avais osé,avait osé,avions osé,aviez osé,avaient osé,oseraient,ose,oses,ose,osions,osiez,osent,aurais osé,aurais osé,aurait osé,aurions osé,auriez osé,auraient osé,aurai osé,auras osé,aura osé,aurons osé,aurez osé,auront osé,N/A,ose,N/A,osons,osez,N/A,aie osé,aies osé,ait osé,ayons osé,ayez osé,aient osé,osasse,osasses,osât,osassions,osassiez,osassent,eusse osé,eusses osé,eût osé,eussions osé,eussiez osé,eussent osé,N/A,aie osé,N/A,ayons osé,ayez osé,N/A,eus osé,eus osé,eut osé,eûmes osé,eûtes osé,eurent osé,osai,osas,osa,osâmes,osâtes,osèrent,osant
partir,to leave,TRUE,pars,pars,part,partons,partez,partent,suis parti,es parti,est parti,sommes parti,êtes parti,sont parti,partais,partais,partait,partions,partiez,partaient,partirai,partiras,partira,partirons,partirez,partiront,partirais,partirais,partirait,partirions,partiriez,étais parti,étais parti,était parti,étions parti,étiez parti,étaient parti,partiraient,parte,partes,parte,partions,partiez,partent,serais parti,serais parti,serait parti,serions parti,seriez parti,seraient parti,serai parti,seras parti,sera parti,serons parti,serez parti,seront parti,N/A,pars,N/A,partons,partez,N/A,sois parti,sois parti,soit parti,soyons parti,soyez parti,soient parti,partisse,partisses,partît,partissions,partissiez,partissent,fusse parti,fusses parti,fût parti,fussions parti,fussiez parti,fussent parti,N/A,sois parti,N/A,soyons parti,soyez parti,N/A,fus parti,fus parti,fut parti,fûmes parti,fûtes parti,fûrent parti,partis,partis,partit,partîmes,partîtes,partirent,partant
partager,to share,FALSE,partage,partages,partage,partageons,partagez,partagent,ai partagé,as partagé,a partagé,avons partagé,avez partagé,ont partagé,partageais,partageais,partageait,partagions,partagiez,partageaient,partagerai,partageras,partagera,partagerons,partagerez,partageront,partagerais,partagerais,partagerait,partagerions,partageriez,avais partagé,avais partagé,avait partagé,avions partagé,aviez partagé,avaient partagé,partageraient,partage,partages,partage,partagions,partagiez,partagent,aurais partagé,aurais partagé,aurait partagé,aurions partagé,auriez partagé,auraient partagé,aurai partagé,auras partagé,aura partagé,aurons partagé,aurez partagé,auront partagé,N/A,partage,N/A,partageons,partagez,N/A,aie partagé,aies partagé,ait partagé,ayons partagé,ayez partagé,aient partagé,partageasse,partageasses,partageât,partageassions,partageassiez,partageassent,eusse partagé,eusses partagé,eût partagé,eussions partagé,eussiez partagé,eussent partagé,N/A,aie partagé,N/A,ayons partagé,ayez partagé,N/A,eus partagé,eus partagé,eut partagé,eûmes partagé,eûtes partagé,eurent partagé,partageai,partageas,partagea,partageâmes,partageâtes,partagèrent,partageant
patiner,to skate,FALSE,patine,patines,patine,patinons,patinez,patinent,ai patiné,as patiné,a patiné,avons patiné,avez patiné,ont patiné,patinais,patinais,patinait,patinions,patiniez,patinaient,patinerai,patineras,patinera,patinerons,patinerez,patineront,patinerais,patinerais,patinerait,patinerions,patineriez,avais patiné,avais patiné,avait patiné,avions patiné,aviez patiné,avaient patiné,patineraient,patine,patines,patine,patinions,patiniez,patinent,aurais patiné,aurais patiné,aurait patiné,aurions patiné,auriez patiné,auraient patiné,aurai patiné,auras patiné,aura patiné,aurons patiné,aurez patiné,auront patiné,N/A,patine,N/A,patinons,patinez,N/A,aie patiné,aies patiné,ait patiné,ayons patiné,ayez patiné,aient patiné,patinasse,patinasses,patinât,patinassions,patinassiez,patinassent,eusse patiné,eusses patiné,eût patiné,eussions patiné,eussiez patiné,eussent patiné,N/A,aie patiné,N/A,ayons patiné,ayez patiné,N/A,eus patiné,eus patiné,eut patiné,eûmes patiné,eûtes patiné,eurent patiné,patinai,patinas,patina,patinâmes,patinâtes,patinèrent,patinant
pêcher,to fish,FALSE,pêche,pêches,pêche,pêchons,pêchez,pêchent,ai pêché,as pêché,a pêché,avons pêché,avez pêché,ont pêché,pêchais,pêchais,pêchait,pêchions,pêchiez,pêchaient,pêcherai,pêcheras,pêchera,pêcherons,pêcherez,pêcheront,pêcherais,pêcherais,pêcherait,pêcherions,pêcheriez,avais pêché,avais pêché,avait pêché,avions pêché,aviez pêché,avaient pêché,pêcheraient,pêche,pêches,pêche,pêchions,pêchiez,pêchent,aurais pêché,aurais pêché,aurait pêché,aurions pêché,auriez pêché,auraient pêché,aurai pêché,auras pêché,aura pêché,aurons pêché,aurez pêché,auront pêché,N/A,pêche,N/A,pêchons,pêchez,N/A,aie pêché,aies pêché,ait pêché,ayons pêché,ayez pêché,aient pêché,pêchasse,pêchasses,pêchât,pêchassions,pêchassiez,pêchassent,eusse pêché,eusses pêché,eût pêché,eussions pêché,eussiez pêché,eussent pêché,N/A,aie pêché,N/A,ayons pêché,ayez pêché,N/A,eus pêché,eus pêché,eut pêché,eûmes pêché,eûtes pêché,eurent pêché,pêchai,pêchas,pêcha,pêchâmes,pêchâtes,pêchèrent,pêchant
parvenir,to reach,TRUE,parviens,parviens,parvient,parvenons,parvenez,parviennent,suis parvenu,es parvenu,est parvenu,sommes parvenu,êtes parvenu,sont parvenu,parvenais,parvenais,parvenait,parvenions,parveniez,parvenaient,parviendrai,parviendras,parviendra,parviendrons,parviendrez,parviendront,parviendrais,parviendrais,parviendrait,parviendrions,parviendriez,étais parvenu,étais parvenu,était parvenu,étions parvenu,étiez parvenu,étaient parvenu,parviendraient,parvienne,parviennes,parvienne,parvenions,parveniez,parviennent,serais parvenu,serais parvenu,serait parvenu,serions parvenu,seriez parvenu,seraient parvenu,serai parvenu,seras parvenu,sera parvenu,serons parvenu,serez parvenu,seront parvenu,N/A,parviens,N/A,parvenons,parvenez,N/A,sois parvenu,sois parvenu,soit parvenu,soyons parvenu,soyez parvenu,soient parvenu,parvinsse,parvinsses,parvînt,parvinssions,parvinssiez,parvinssent,fusse parvenu,fusses parvenu,fût parvenu,fussions parvenu,fussiez parvenu,fussent parvenu,N/A,sois parvenu,N/A,soyons parvenu,soyez parvenu,N/A,fus parvenu,fus parvenu,fut parvenu,fûmes parvenu,fûtes parvenu,fûrent parvenu,parvins,parvins,parvint,parvînmes,parvîntes,parvinrent,parvenant
ouvrir,to open,TRUE,ouvre,ouvres,ouvre,ouvrons,ouvrez,ouvrent,ai ouvert,as ouvert,a ouvert,avons ouvert,avez ouvert,ont ouvert,ouvrais,ouvrais,ouvrait,ouvrions,ouvriez,ouvraient,ouvrirai,ouvriras,ouvrira,ouvrirons,ouvrirez,ouvriront,ouvrirais,ouvrirais,ouvrirait,ouvririons,ouvririez,avais ouvert,avais ouvert,avait ouvert,avions ouvert,aviez ouvert,avaient ouvert,ouvriraient,ouvre,ouvres,ouvre,ouvrions,ouvriez,ouvrent,aurais ouvert,aurais ouvert,aurait ouvert,aurions ouvert,auriez ouvert,auraient ouvert,aurai ouvert,auras ouvert,aura ouvert,aurons ouvert,aurez ouvert,auront ouvert,N/A,ouvre,N/A,ouvrons,ouvrez,N/A,aie ouvert,aies ouvert,ait ouvert,ayons ouvert,ayez ouvert,aient ouvert,ouvrisse,ouvrisses,ouvrît,ouvrissions,ouvrissiez,ouvrissent,eusse ouvert,eusses ouvert,eût ouvert,eussions ouvert,eussiez ouvert,eussent ouvert,N/A,aie ouvert,N/A,ayons ouvert,ayez ouvert,N/A,eus ouvert,eus ouvert,eut ouvert,eûmes ouvert,eûtes ouvert,eurent ouvert,ouvris,ouvris,ouvrit,ouvrîmes,ouvrîtes,ouvrirent,ouvrant
parcourir,to cover/travel,TRUE,parcours,parcours,parcourt,parcourons,parcourez,parcourent,ai parcouru,as parcouru,a parcouru,avons parcouru,avez parcouru,ont parcouru,parcourais,parcourais,parcourait,parcourions,parcouriez,parcouraient,parcourrai,parcourras,parcourra,parcourrons,parcourrez,parcourront,parcourrais,parcourrais,parcourrait,parcourrions,parcourriez,avais parcouru,avais parcouru,avait parcouru,avions parcouru,aviez parcouru,avaient parcouru,parcourraient,parcoure,parcoures,parcoure,parcourions,parcouriez,parcourent,aurais parcouru,aurais parcouru,aurait parcouru,aurions parcouru,auriez parcouru,auraient parcouru,aurai parcouru,auras parcouru,aura parcouru,aurons parcouru,aurez parcouru,auront parcouru,N/A,parcours,N/A,parcourons,parcourez,N/A,aie parcouru,aies parcouru,ait parcouru,ayons parcouru,ayez parcouru,aient parcouru,parcourusse,parcourusses,parcourût,parcourussions,parcourussiez,parcourussent,eusse parcouru,eusses parcouru,eût parcouru,eussions parcouru,eussiez parcouru,eussent parcouru,N/A,aie parcouru,N/A,ayons parcouru,ayez parcouru,N/A,eus parcouru,eus parcouru,eut parcouru,eûmes parcouru,eûtes parcouru,eurent parcouru,parcourus,parcourus,parcourut,parcourûmes,parcourûtes,parcoururent,parcourant
penser,to think,FALSE,pense,penses,pense,pensons,pensez,pensent,ai pensé,as pensé,a pensé,avons pensé,avez pensé,ont pensé,pensais,pensais,pensait,pensions,pensiez,pensaient,penserai,penseras,pensera,penserons,penserez,penseront,penserais,penserais,penserait,penserions,penseriez,avais pensé,avais pensé,avait pensé,avions pensé,aviez pensé,avaient pensé,penseraient,pense,penses,pense,pensions,pensiez,pensent,aurais pensé,aurais pensé,aurait pensé,aurions pensé,auriez pensé,auraient pensé,aurai pensé,auras pensé,aura pensé,aurons pensé,aurez pensé,auront pensé,N/A,pense,N/A,pensons,pensez,N/A,aie pensé,aies pensé,ait pensé,ayons pensé,ayez pensé,aient pensé,pensasse,pensasses,pensât,pensassions,pensassiez,pensassent,eusse pensé,eusses pensé,eût pensé,eussions pensé,eussiez pensé,eussent pensé,N/A,aie pensé,N/A,ayons pensé,ayez pensé,N/A,eus pensé,eus pensé,eut pensé,eûmes pensé,eûtes pensé,eurent pensé,pensai,pensas,pensa,pensâmes,pensâtes,pensèrent,pensant
passer,to pass/spend time,FALSE,passe,passes,passe,passons,passez,passent,ai passé,as passé,a passé,avons passé,avez passé,ont passé,passais,passais,passait,passions,passiez,passaient,passerai,passeras,passera,passerons,passerez,passeront,passerais,passerais,passerait,passerions,passeriez,avais passé,avais passé,avait passé,avions passé,aviez passé,avaient passé,passeraient,passe,passes,passe,passions,passiez,passent,aurais passé,aurais passé,aurait passé,aurions passé,auriez passé,auraient passé,aurai passé,auras passé,aura passé,aurons passé,aurez passé,auront passé,N/A,passe,N/A,passons,passez,N/A,aie passé,aies passé,ait passé,ayons passé,ayez passé,aient passé,passasse,passasses,passât,passassions,passassiez,passassent,eusse passé,eusses passé,eût passé,eussions passé,eussiez passé,eussent passé,N/A,aie passé,N/A,ayons passé,ayez passé,N/A,eus passé,eus passé,eut passé,eûmes passé,eûtes passé,eurent passé,passai,passas,passa,passâmes,passâtes,passèrent,passant
parler,to talk,FALSE,parle,parles,parle,parlons,parlez,parlent,ai parlé,as parlé,a parlé,avons parlé,avez parlé,ont parlé,parlais,parlais,parlait,parlions,parliez,parlaient,parlerai,parleras,parlera,parlerons,parlerez,parleront,parlerais,parlerais,parlerait,parlerions,parleriez,avais parlé,avais parlé,avait parlé,avions parlé,aviez parlé,avaient parlé,parleraient,parle,parles,parle,parlions,parliez,parlent,aurais parlé,aurais parlé,aurait parlé,aurions parlé,auriez parlé,auraient parlé,aurai parlé,auras parlé,aura parlé,aurons parlé,aurez parlé,auront parlé,N/A,parle,N/A,parlons,parlez,N/A,aie parlé,aies parlé,ait parlé,ayons parlé,ayez parlé,aient parlé,parlasse,parlasses,parlât,parlassions,parlassiez,parlassent,eusse parlé,eusses parlé,eût parlé,eussions parlé,eussiez parlé,eussent parlé,N/A,aie parlé,N/A,ayons parlé,ayez parlé,N/A,eus parlé,eus parlé,eut parlé,eûmes parlé,eûtes parlé,eurent parlé,parlai,parlas,parla,parlâmes,parlâtes,parlèrent,parlant
offrir,to offer,TRUE,offre,offres,offre,offrons,offrez,offrent,ai offert,as offert,a offert,avons offert,avez offert,ont offert,offrais,offrais,offrait,offrions,offriez,offraient,offrirai,offriras,offrira,offrirons,offrirez,offriront,offrirais,offrirais,offrirait,offririons,offririez,avais offert,avais offert,avait offert,avions offert,aviez offert,avaient offert,offriraient,offre,offres,offre,offrions,offriez,offrent,aurais offert,aurais offert,aurait offert,aurions offert,auriez offert,auraient offert,aurai offert,auras offert,aura offert,aurons offert,aurez offert,auront offert,N/A,offre,N/A,offrons,offrez,N/A,aie offert,aies offert,ait offert,ayons offert,ayez offert,aient offert,offrisse,offrisses,offrît,offrissions,offrissiez,offrissent,eusse offert,eusses offert,eût offert,eussions offert,eussiez offert,eussent offert,N/A,aie offert,N/A,ayons offert,ayez offert,N/A,eus offert,eus offert,eut offert,eûmes offert,eûtes offert,eurent offert,offris,offris,offrit,offrîmes,offrîtes,offrirent,offrant
peler,to peel,FALSE,pèle,pèles,pèle,pelons,pelez,pèlent,ai pelé,as pelé,a pelé,avons pelé,avez pelé,ont pelé,pelais,pelais,pelait,pelions,peliez,pelaient,pèlerai,pèleras,pèlera,pèlerons,pèlerez,pèleront,pèlerais,pèlerais,pèlerait,pèlerions,pèleriez,avais pelé,avais pelé,avait pelé,avions pelé,aviez pelé,avaient pelé,pèleraient,pèle,pèles,pèle,pelions,peliez,pèlent,aurais pelé,aurais pelé,aurait pelé,aurions pelé,auriez pelé,auraient pelé,aurai pelé,auras pelé,aura pelé,aurons pelé,aurez pelé,auront pelé,N/A,pèle,N/A,pelons,pelez,N/A,aie pelé,aies pelé,ait pelé,ayons pelé,ayez pelé,aient pelé,pelasse,pelasses,pelât,pelassions,pelassiez,pelassent,eusse pelé,eusses pelé,eût pelé,eussions pelé,eussiez pelé,eussent pelé,N/A,aie pelé,N/A,ayons pelé,ayez pelé,N/A,eus pelé,eus pelé,eut pelé,eûmes pelé,eûtes pelé,eurent pelé,pelai,pelas,pela,pelâmes,pelâtes,pelèrent,pelant
occlure,to occlude,TRUE,occlus,occlus,occlut,occluons,occluez,occluent,ai occlus,as occlus,a occlus,avons occlus,avez occlus,ont occlus,occluais,occluais,occluait,occluions,occluiez,occluaient,occlurai,occluras,occlura,occlurons,occlurez,occluront,occlurais,occlurais,occlurait,occlurions,occluriez,avais occlus,avais occlus,avait occlus,avions occlus,aviez occlus,avaient occlus,occluraient,occlue,occlues,occlue,occluions,occluiez,occluent,aurais occlus,aurais occlus,aurait occlus,aurions occlus,auriez occlus,auraient occlus,aurai occlus,auras occlus,aura occlus,aurons occlus,aurez occlus,auront occlus,N/A,occlus,N/A,occluons,occluez,N/A,aie occlus,aies occlus,ait occlus,ayons occlus,ayez occlus,aient occlus,occlusse,occlusses,occlût,occlussions,occlussiez,occlussent,eusse occlus,eusses occlus,eût occlus,eussions occlus,eussiez occlus,eussent occlus,N/A,aie occlus,N/A,ayons occlus,ayez occlus,N/A,eus occlus,eus occlus,eut occlus,eûmes occlus,eûtes occlus,eurent occlus,occlus,occlus,occlut,occlûmes,occlûtes,occlurent,occluant
